\Regnal
#Kings of England
William I:     Cor 25/12/1066   Death 9/9/1087
William II:    Cor 26/9/1087    Death 2/8/1100
Henry I:       Cor 5/8/1100     Death 1/12/1135
Stephen:       Cor 22/12/1135   Death 25/10/1154
Henry II:      Cor 19/12/1154   Death 6/7/1189
Richard I:     Cor 3/9/1189     Death 6/4/1199
John:          Cor Ascension/1199 Death 19/10/1216
Henry III:     Cor 28/10/1216   Death 16/11/1272
Edward I:      Cor 20/11/1272   Death 7/7/1307
Edward II:     Cor 8/7/1307     Death 20/1/1327
Edward III:    Cor 25/1/1327    Death 21/6/1377
Edward III F:  Cor 25/1/1340    Death 21/6/1377
*:             Resum 24/10/1360 Resign 0/6/1369
Richard II:    Cor 22/6/1377    Depos 29/9/1399
Henry IV:      Cor 30/9/1399    Death 20/3/1413
Henry V:       Cor 21/3/1413    Death 31/8/1422
Henry VI:      Cor 1/9/1422     Depos 11/4/1471
*:             Restor 4/3/1461  Depos 0/9/1470
Edward IV:     Cor 4/3/1461     Death 9/4/1483
Edward V:      Cor 9/4/1483     Depos 25/6/1483
Richard III:   Cor 26/6/1483    Death 22/8/1485
Henry VII:     Cor 22/8/1485    Death 21/4/1509

#Popes
Alexander II:  Elec 29/9/1061   Death 21/4/1073
Honorius II@:  Cor 28/10/1061   Death 0/12/1072
Gregory VII:   Elec 22/4/1073   Death 25/5/1085
Clement III@:  Elec 25/6/1080   Death 0/9/1100
Victor III:    Elec 24/5/1086   Death 16/9/1087
Urban II:      Elec 12/3/1088   Death 29/7/1099
Paschal II:    Elec 13/8/1099   Death 21/1/1118
Theodoric@:    Cor 0/9/1100     Depos 0/12/1100
Albert@:       Elec 0/2/1102    Depos 0/3/1102
Silvester IV@: Elec 18/11/1105  Depos 13/4/1111
Gelasius II:   Elec 24/1/1118   Death 29/1/1119
Gregory VIII@: Elec 8/3/1118    Depos 0/4/1121
Calixtus II:   Elec 2/2/1119    Death 13/12/1124
Honorius II:   Elec 16/12/1124  Death 13/2/1130
Innocent II:   Elec 14/2/1130   Death 24/9/1143
Anacletus II@: Elec 14/2/1130   Death 25/1/1138
Victor IV@:    Elec 15/3/1138   Resign 29/5/1138
Celestine II:  Elec 26/9/1143   Death 8/3/1144
Lucius II:     Elec 12/3/1144   Death 15/2/1145
Eugenius III:  Elec 15/2/1145   Death 8/7/1153
Anastasius IV: Elec 12/7/1153   Death 3/12/1154
Adrian IV:     Elec 4/12/1154   Death 1/9/1159
Alexander III: Elec 7/9/1159    Death 30/8/1181
Victor IV@:    Elec 7/9/1159    Death 20/4/1164
Paschal III@:  Elec 22/4/1164   Death 0/9/1168
Calixtus III@: Elec 0/9/1168    Resign 29/8/1178
Innocent III@: Elec 29/9/1179   Depos 0/1/1180
Lucius III:    Elec 1/9/1181    Death 25/11/1185
Urban III:     Elec 25/11/1185  Death 20/10/1187
Gregory VIII:  Elec 21/10/1187  Death 17/12/1187
Clement III:   Elec 19/12/1187  Death 0/3/1191
Celestine III: Elec 30/3/1191   Death 8/1/1198
Innocent III:  Cor 22/2/1198    Death 16/7/1216
Honorius III:  Cor 24/7/1216    Death 18/3/1227
Gregory IX:    Cor 21/3/1227    Death 22/8/1241
Celestine IV:  Cor 27/10/1241   Death 10/11/1241
Innocent IV:   Cor 28/6/1243    Death 7/12/1254
Alexander IV:  Cor 20/12/1254   Death 25/5/1261
Urban IV:      Cor 4/9/1261     Death 2/10/1264
Clement IV:    Cor 15/2/1265    Death 29/11/1268
Gregory X:     Cor 27/3/1272    Death 10/1/1276
Innocent V:    Cor 22/2/1276    Death 22/6/1276
Adrian V:      Elec 11/7/1276   Death 18/8/1276
John XXI:      Cor 20/9/1276    Death 20/5/1277
Nicholas III:  Cor 26/12/1277   Death 22/8/1280
Martin IV:     Cor 23/3/1281    Death 28/3/1285
Honorius IV:   Cor 20/5/1285    Death 3/4/1287
Nicholas IV:   Cor 22/2/1288    Death 4/4/1292
Celestine V:   Cor 29/8/1294    Resign 13/12/1294
Boniface VIII: Cor 23/1/1295    Death 12/10/1303
Benedict XI:   Cor 27/10/1303   Death 7/7/1304
Clement V:     Cor 14/11/1305   Death 20/4/1314
John XXII:     Cor 5/9/1316     Death 4/12/1334
Nicholas V@:   Cor 22/5/1328    Resign 25/7/1330
Benedict XII:  Cor 8/1/1335     Death 25/4/1342
Clement VI:    Cor 19/5/1342    Death 6/12/1352
Innocent VI:   Cor 30/12/1352   Death 12/9/1362
Urban V:       Cor 6/11/1362    Death 19/12/1370
Gregory XI:    Cor 5/1/1371     Death 26/3/1378
Urban VI:      Cor 18/4/1378    Death 15/10/1389
Clement VII@:  Cor 31/10/1378   Death 16/9/1394
Boniface IX:   Cor 9/11/1389    Death 1/10/1404
Benedct XIII@: Cor 11/10/1394   Death 23/5/1423
Innocent VII:  Cor 11/11/1404   Death 6/11/1406
Gregory XII:   Cor 19/12/1406   Resign 4/7/1415
Alexander V:   Cor 7/7/1409     Death 3/5/1410
John XXIII:    Cor 25/5/1410    Death 22/11/1419
Martin V:      Cor 21/11/1417   Death 20/2/1431
Clement VIII@: Elec 10/6/1423   Resign 26/7/1429
Eugenius IV:   Cor 11/3/1431    Death 23/2/1447
Felix V@:      Cor 24/7/1440    Resign 7/4/1449
Nicholas V:    Cor 19/3/1447    Death 24/3/1455
Calixtus III:  Cor 20/4/1455    Death 6/8/1458
Pius II:       Cor 3/9/1458     Death 15/8/1464
Paul II:       Cor 16/9/1464    Death 26/7/1471
Sixtus IV:     Cor 25/8/1471    Death 12/7/1484
Innocent VIII: Cor 12/9/1484    Death 25/7/1492
Alexander VI:  Cor 26/8/1492    Death 18/8/1503
\end

\Feast
Agatha=5/2
Agnes=21/1
All Saints=1/11
All Souls=2/11
Ambrosius=4/4
Andreas=30/11
Anna=26/7
Anselmus=21/4
Aug.Angl.=26/5
Aug.Doct.=28/8
Barnabas=11/6
Bartholmew=24/8
Basilius=14/6
Benedict=21/3
Bernardus=21/8
BVM Annunc=25/3
BVM Assump=15/8
BVM Concep=8/12
BVM Nat.=8/9
BVM Pur.=2/2
Cecilia=22/11
Christmas=25/12
Circumcisn=1/1
Clara=12/8
Damasus=11/12
David=1/3
Dionysius=9/10
Dominicus=4/8
Edith=16/9
Epiphany=6/1
Eugenia=16/3
Eustachius=2/11
Exalt. Cr.=14/9
Felix=8/3
Franciscus=4/9
Georgius=23/4
Gregorius=12/3
Guthlac=11/4
Hilarius=13/1
Innocentes=28/12
Invent.Cr.=3/5
Isidorus=2/1
Jacobus=25/7
J.Bap.Nat.=24/6
John Evan.=27/12
J.prt.lat.=6/5
Lammas=1/8
Lawrence=10/8
Lucas=18/9
Lucy=13/12
Marcus=25/4
Martin=11/11
Martin tr.=4/7
Mary Magd.=22/7
Mathias=24/2
Mattheus=21/9
Michael=29/9
Midsummer=24/6
Nicholas=6/12
Patricius=17/3
Paul conv.=25/1
Paul deco.=30/6
Paul tr.=25/1
Peter Cath=22/2
Peter Paul=29/6
Peter Vinc=1/8
Phil & Jac=1/5
Scholastca=10/2
Simn Judas=28/10
Stephanus=26/12
Th.abp.tr.=7/7
Thomas abp=29/12
Thomas ap.=21/12
Urbanus=25/5
\end

